type	latitude	longitude	altitude (m)	name	desc
T	61.138893000	9.258556000	1003.4		
T	61.139327000	9.257348000	998.9		
T	61.139652000	9.256309000	998.1		
T	61.139856000	9.254793000	991.8		
T	61.140322000	9.253880000	984.6		
T	61.141348000	9.251398000	951.8		
T	61.141635000	9.250406000	954.3		
T	61.141768000	9.249464000	949.3		
T	61.141880000	9.249024000	944.8		
T	61.141983000	9.248782000	944.9		
T	61.142187000	9.248126000	944.3		
T	61.142432000	9.247616000	938.6		
T	61.142467000	9.247568000	938.5		
T	61.142489000	9.247585000	937.7		
T	61.142465000	9.247732000	939.9		
T	61.142445000	9.248115000	939.9		
T	61.142430000	9.249256000	940.5		
T	61.142446000	9.249460000	940.8		
T	61.142535000	9.250071000	941.3		
T	61.143038000	9.251857000	943.7		
T	61.143191000	9.252725000	943.6		
T	61.143298000	9.253128000	943.8		
T	61.143658000	9.254100000	946.5		
T	61.143860000	9.254522000	946.7		
T	61.144002000	9.254676000	947.0		
T	61.146013000	9.253841000	932.7		
T	61.146449000	9.253706000	930.8		
T	61.146449000	9.253706000	930.8		
T	61.146013000	9.253841000	932.7		
T	61.144002000	9.254676000	947.0		
T	61.143860000	9.254522000	946.7		
T	61.143658000	9.254100000	946.5		
T	61.143298000	9.253128000	943.8		
T	61.143191000	9.252725000	943.6		
T	61.143038000	9.251857000	943.7		
T	61.142535000	9.250071000	941.3		
T	61.142446000	9.249460000	940.8		
T	61.142430000	9.249256000	940.5		
T	61.142445000	9.248115000	939.9		
T	61.142465000	9.247732000	939.9		
T	61.142489000	9.247585000	937.7		
T	61.142634000	9.247127000	931.4		
T	61.142887000	9.246454000	930.7		
T	61.143025000	9.246156000	930.6		
T	61.143135000	9.245998000	930.7		
T	61.143178000	9.245869000	931.0		
T	61.143182000	9.245543000	926.1		
T	61.142965000	9.243989000	928.5		
T	61.142876000	9.243713000	928.7		
T	61.142695000	9.243255000	929.5		
T	61.142633000	9.243197000	930.3		
T	61.142488000	9.243186000	931.4		
T	61.142168000	9.243351000	932.0		
T	61.142026000	9.243307000	931.8		
T	61.141920000	9.243128000	931.9		
T	61.141602000	9.242472000	932.6		
T	61.141443000	9.242212000	932.7		
T	61.140997000	9.241156000	944.1		
T	61.140654000	9.239978000	951.0		
T	61.140309000	9.239074000	958.3		
T	61.139864000	9.238101000	961.8		
T	61.139754000	9.237708000	961.9		
T	61.139714000	9.237400000	961.1		
T	61.139677000	9.236594000	959.7		
T	61.139563000	9.235125000	956.2		
T	61.139463000	9.234310000	954.6		
T	61.139205000	9.233078000	953.9		
T	61.138992000	9.232327000	952.3		
T	61.138759000	9.231635000	952.5		
T	61.138631000	9.230991000	952.6		
T	61.138485000	9.230599000	953.7		
T	61.138353000	9.230313000	954.7		
T	61.138128000	9.229922000	955.7		
T	61.137612000	9.229208000	958.4		
T	61.137235000	9.228596000	959.2		
T	61.137117000	9.228476000	959.7		
T	61.137152000	9.228257000	957.7		
T	61.137123000	9.227712000	955.0		
T	61.137123000	9.227712000	955.0		
T	61.137152000	9.228257000	957.7		
T	61.137117000	9.228476000	959.7		
T	61.136861000	9.228197000	961.6		
T	61.136703000	9.227981000	961.9		
T	61.136315000	9.227338000	962.0		
T	61.136122000	9.226893000	961.5		
T	61.136052000	9.226665000	961.3		
T	61.135903000	9.226021000	960.7		
T	61.135679000	9.224892000	960.2		
T	61.135540000	9.224423000	960.0		
T	61.135447000	9.224220000	960.0		
T	61.135000000	9.223789000	959.7		
T	61.134598000	9.223166000	958.5		
T	61.134260000	9.222548000	956.9		
T	61.134162000	9.222301000	956.2		
T	61.134022000	9.221803000	954.4		
T	61.133935000	9.221412000	953.8		
T	61.133896000	9.221134000	953.6		
T	61.133881000	9.220902000	953.4		
T	61.133886000	9.220478000	952.6		
T	61.133862000	9.220242000	952.3		
T	61.133820000	9.219952000	952.1		
T	61.133676000	9.219382000	951.6		
T	61.133612000	9.219214000	951.7		
T	61.133153000	9.218405000	951.2		
T	61.132951000	9.217962000	949.0		
T	61.132861000	9.217677000	947.8		
T	61.132653000	9.216876000	947.7		
T	61.132530000	9.216555000	947.9		
T	61.132441000	9.216420000	948.0		
T	61.132346000	9.216334000	948.1		
T	61.132233000	9.216330000	948.2		
T	61.131777000	9.216478000	951.1		
T	61.131580000	9.216477000	951.0		
T	61.130647000	9.216096000	948.6		
T	61.130529000	9.215961000	948.1		
T	61.130384000	9.215700000	947.3		
T	61.130103000	9.214899000	946.4		
T	61.129951000	9.214241000	942.2		
T	61.129821000	9.213419000	936.9		
T	61.129715000	9.212944000	936.0		
T	61.129641000	9.212772000	935.9		
T	61.129034000	9.211636000	934.2		
T	61.128919000	9.211326000	934.0		
T	61.128833000	9.210944000	934.1		
T	61.128773000	9.210591000	934.1		
T	61.128739000	9.210176000	934.4		
T	61.128738000	9.209789000	934.6		
T	61.128746000	9.209628000	934.9		
T	61.128794000	9.209313000	935.2		
T	61.128889000	9.208976000	936.2		
T	61.129045000	9.208627000	936.5		
T	61.129128000	9.208393000	936.7		
T	61.129183000	9.208149000	936.9		
T	61.129219000	9.207853000	937.1		
T	61.129219000	9.207375000	937.4		
T	61.129194000	9.207040000	937.5		
T	61.129151000	9.206723000	937.6		
T	61.129045000	9.206413000	937.7		
T	61.128943000	9.206250000	937.6		
T	61.128834000	9.206198000	937.6		
T	61.128463000	9.206286000	937.6		
T	61.128029000	9.206185000	938.3		
T	61.127886000	9.206098000	939.0		
T	61.127752000	9.205825000	939.3		
T	61.127640000	9.205363000	940.3		
T	61.127516000	9.204762000	941.9		
T	61.127465000	9.204053000	942.4		
T	61.127364000	9.203654000	942.8		
T	61.127116000	9.203179000	943.4		
T	61.126862000	9.202887000	943.8		
T	61.126645000	9.202824000	943.9		
T	61.126070000	9.202951000	945.3		
T	61.125676000	9.202887000	947.7		
T	61.125413000	9.202691000	948.5		
T	61.125187000	9.202267000	950.0		
T	61.125074000	9.201805000	950.1		
T	61.124994000	9.201121000	950.3		
T	61.124951000	9.200551000	950.1		
T	61.124847000	9.200095000	950.2		
T	61.124718000	9.199777000	949.9		
T	61.124315000	9.198945000	947.0		
T	61.124121000	9.198451000	944.5		
T	61.124040000	9.198319000	944.6		
T	61.123596000	9.198063000	944.5		
T	61.123463000	9.198055000	944.5		
T	61.123317000	9.198126000	944.6		
T	61.122803000	9.198541000	943.5		
T	61.122654000	9.198550000	943.1		
T	61.122489000	9.198499000	942.7		
T	61.122342000	9.198401000	942.4		
T	61.122229000	9.198267000	942.0		
T	61.121875000	9.197537000	941.5		
T	61.121792000	9.197442000	941.7		
T	61.121695000	9.197409000	941.9		
T	61.121533000	9.197468000	942.0		
T	61.121312000	9.197624000	942.2		
T	61.121065000	9.197891000	942.3		
T	61.120824000	9.198006000	942.4		
T	61.120373000	9.198034000	942.5		
T	61.120164000	9.198005000	942.5		
T	61.119881000	9.197864000	942.6		
T	61.119453000	9.197518000	947.1		
T	61.119276000	9.197480000	947.5		
